Family,File,Algorithm,Start,End,Distance
Square-C,Square-C.15.0.gr,radixheap,817580,171709,190833725805
Square-C,Square-C.15.0.gr,radixheap,228343,927715,217323412158
Square-C,Square-C.15.0.gr,radixheap,275177,97630,237429884046
Square-C,Square-C.15.0.gr,radixheap,131863,241030,170759520241
USA-road-d,USA-road-d.E.gr,dijkstra,1,3598623,5269491
USA-road-d,USA-road-d.E.gr,dijkstra,1915763,1806313,3171451
USA-road-d,USA-road-d.E.gr,dijkstra,309191,2008169,5402590
USA-road-d,USA-road-d.E.gr,dijkstra,453876,294466,3325609
USA-road-d,USA-road-d.E.gr,dijkstra,804146,1089598,3486982
USA-road-d,USA-road-d.E.gr,radixheap,1,3598623,5269491
USA-road-d,USA-road-d.E.gr,radixheap,1915763,1806313,3171451
USA-road-d,USA-road-d.E.gr,radixheap,309191,2008169,5402590
USA-road-d,USA-road-d.E.gr,radixheap,453876,294466,3325609
USA-road-d,USA-road-d.E.gr,radixheap,804146,1089598,3486982
USA-road-d,USA-road-d.E.gr,dial,1,3598623,5269491
USA-road-d,USA-road-d.E.gr,dial,1915763,1806313,3171451
USA-road-d,USA-road-d.E.gr,dial,309191,2008169,5402590
USA-road-d,USA-road-d.E.gr,dial,453876,294466,3325609
USA-road-d,USA-road-d.E.gr,dial,804146,1089598,3486982
